id;sentence_1;sentence_2;label
1;The company reduced its workforce last year.;The firm laid off employees during the previous year.;1
2;The satellite entered a stable orbit.;The spacecraft successfully reached a stable orbital path.;1
3;Color is highly subjective, but has observable psychological effects, although these can differ from one culture to the next.;Color perception is subjective, yet it produces psychological effects that vary across cultures.;1
4;It took him a month to finish the meal.;He needed an entire month to complete the meal.;1
5;He enjoys practicing his ballet in the bathroom;The man likes to rehearse ballet exercises in his bathroom.;1
6;Everyone was busy, so I went to the movie alone.;Since no one was available, I ended up watching the movie by myself.;1
7;Nobody questions who built the pyramids in Mexico.;No one doubts the identity of the builders of the Mexican pyramids.;1
8;The Japanese yen for commerce is still well-known.;The Japanese yen remains widely recognized in global trade.;1
9;Changes in female dress standards and acceptable physical activities for women have also been part of feminist movements.;Feminist movements have also influenced clothing norms and physical activity expectations for women.;1
10;Music often plays a key role in social events and religious ceremonies.;Music frequently serves an important function in social gatherings and religious rituals.;1
11;Most shark attacks occur about 10 feet from the beach since that's where the people are.;The majority of shark attacks happen close to shore because that is where swimmers are located.;1
12;Sound engineering is increasingly viewed as a creative profession and art form;Sound engineering is more and more regarded as both a creative career and an artistic discipline.;1
13;Engineers develop new technological solutions. ;Engineers design innovative technological solutions.;1
14;Most of Earth's land is at least somewhat humid and covered by vegetation;A large portion of Earth’s land surface is moderately humid and supports plant life.;1
15;Arabic has influenced languages across the globe throughout its history;Throughout history, Arabic has had a significant impact on many languages worldwide.;1
16;Central banks in most developed nations are usually set up to be institutionally independent from political interference;In most developed countries, central banks are designed to operate independently from political control.;1
17;German economic and industrial strength continued to expand rapidly post-1871.;After 1871, Germany’s economic and industrial power grew at a rapid pace.;1
18;Manuscripts, handwritten and hand-copied documents, were the only form of writing before the invention and widespread adoption of print.;Before printing became widespread, handwritten manuscripts were the sole method of written communication.;1
19;In India, bananas serve a prominent part in many festivals and occasions of Hindus.;Bananas play an important role in many Hindu festivals and ceremonies in India.;1
20;He decided to count all the sand on the beach as a hobby.;He chose counting grains of sand on the beach as a personal pastime.;1
21;She applied for a new job after graduating from university.;After finishing her university studies, she submitted an application for a new position.;1
22;The software update caused unexpected system crashes.;The latest software update led to unforeseen system failures.;1
23;A hierarchy is typically depicted as a pyramid;Hierarchical structures are commonly represented in the shape of a pyramid.;1
24; Hong Kong had become the major arms supply port in the Asia-Pacific region.;Hong Kong emerged as the primary arms supply hub in the Asia-Pacific area.;1
25;The company announced a new marketing strategy.;The firm revealed a new approach to its marketing efforts.;1
26;The word earthquake is used to describe any seismic event that generates seismic waves.;The term earthquake refers to any seismic phenomenon that produces seismic waves.;1
27;Imagination is the production of sensations, feelings and thoughts informing oneself.;Imagination involves generating sensations, emotions, and thoughts within the mind.;1
28;Creativity is the ability to form novel and valuable ideas or works using one's imagination. ;Creativity refers to the capacity to use imagination to create original and meaningful ideas or works.;1
29;A sea is a large body of salt water. ;A sea is an extensive mass of saline water.;1
30;An employee contributes labour and expertise to an endeavor of an employer.;An employee provides skills and effort to support the work of an employer.;1
31;Samsung C&T was designated by the Korean government as the first general trading company to lead overseas sales operations.;The Korean government appointed Samsung C&T as the first general trading firm responsible for managing overseas sales.;1
32;Chinese characters are accepted as representing one of four independent inventions of writing in human history.;Chinese writing is recognized as one of the four independently developed writing systems in human history.;1
33;ChatGPT was initially free to the public and remains free in a limited capacity.;ChatGPT was first offered at no cost to the public and is still available for free with certain limitations.;1
34;The concept of grouping students together in a centralized location for learning has existed since Classical antiquity.;Organizing students in a single location for education has been practiced since ancient classical times.;1
35;Love is an emotion involving strong attraction, affection, emotional attachment or concern for a person, animal, or thing.;Love is an emotional state characterized by deep affection, attachment, or care toward someone or something.;1
36;The understanding of friendship by children tends to be focused on areas such as common activities, physical proximity, and shared expectations.;Children often define friendship based on shared activities, closeness, and mutual expectations.;1
37;The question of whether lies can be detected reliably through nonverbal behavior has been the subject of frequent study. ;Researchers have frequently examined whether deception can be reliably identified through nonverbal cues.;1
38;Christmas is an annual festival commemorating the birth of Jesus Christ.;Christmas is a yearly celebration marking the birth of Jesus Christ.;1
39;Santa Claus is a legendary figure originating in Western Christian culture who is said to bring gifts during the late evening and overnight hours on Christmas Eve.;A mythological figure from Western Christian culture, Santa Claus is supposed to deliver gifts on Christmas Eve in the late evening and early morning.;1
40;I should ask Santa Claus to bring me a donkey.;I ought to ask Santa Claus for a donkey as a gift.;1
41;Historical research relies on primary and secondary sources to reconstruct past events and validate interpretations.;In order to recreate historical events and verify interpretations, historical study depends on primary and secondary sources.;1
42;A transgender person has a gender identity different from that typically associated with the sex they were assigned at birth.;A person who identifies as transgender has a gender identification that differs from the sex they were assigned at birth.;1
43;People who believe in a lunar effect claim that admissions to psychiatric hospitals, traffic accidents, homicides or suicides increase during a full moon.;Supporters of the lunar effect argue that full moons are associated with higher rates of psychiatric admissions, accidents, and violent incidents.;1
44; The capacity to fear is part of human nature.;The ability to experience fear is an inherent aspect of being human.;1
45;Photography is the result of combining several technical discoveries relating to seeing an image and capturing the image. ;Photography emerged from the combination of multiple technical innovations related to visual perception and image capture.;1
46;She wore green lipstick like a fashion icon.;She applied green lipstick, resembling a style icon.;1
47;Cats are good pets, for they are clean and are not noisy.;Cats make good pets because they are tidy and generally quiet.;1
48;Cards with messages have been sporadically created and posted by individuals since the beginning of postal services.;Since the early days of postal services, individuals have occasionally sent cards containing personal messages.;1
49;More than 300 million people have visited the tower since it was completed in 1889.;Since its completion in 1889, the tower has attracted over 300 million visitors.;1
50;Throughout history, time has been an important subject of study in religion, philosophy, and science.;Modern smartphones rely heavily on touch screen technology for user interaction.;0
51;Asian fashion influences became increasingly significant in local and global markets. ;Whales migrate thousands of kilometers each year to reach feeding grounds.;0
52;It was previously thought that Caucasian hair grew more quickly than Asian hair and that the growth rate of women's hair was faster than that of men.;The city installed new traffic lights to improve road safety.;0
53;Human salt taste is detected by sodium taste receptors present in taste bud cells on the tongue.;The mountain trail was closed due to heavy snowfall.;0
54;Happiness can be found in the depths of chocolate pudding.;The company reported a decline in quarterly profits.;0
55;He loved eating his bananas in hot dog buns.;The library expanded its collection of historical manuscripts.;0
56;My Mum tries to be cool by saying that she likes all the same things that I do.;The software update improved battery performance on older devices.;0
57;Animals, specifically humans, typically have five different types of taste sense: sweet, sour, salty, bitter, and umami.;The airplane landed safely despite severe turbulence.;0
58;Law is a set of rules that are created and are enforceable by social or governmental institutions to regulate behavior.;Rainforests contain a large percentage of the world’s biodiversity.;0
59;The heart is an emblematic symbol in many religions, signifying truth, conscience or moral courage.;Electric cars require less routine maintenance than gasoline-powered vehicles.;0
60;In 2020, the estimated global dog population was between 700 million and 1 billion.;Ancient civilizations relied heavily on irrigation systems for agriculture.;0
61;The peregrine falcon is the fastest bird in the world, reaching speeds of over 240 miles per hour during its hunting stoop.;The museum introduced a new exhibit on modern abstract art.;0
62;The date and time of moving out must be on week days, during the dormitory manager's office hours.;Volcanoes can remain dormant for centuries before erupting.;0
63;Algeria’s parliament has unanimously approved a law declaring France’s colonisation of the country a crime and demanded an apology and reparations.;Online streaming platforms have changed how people watch television.;0
64;When it was my wife’s 60th birthday I asked her if she’d like a diamond ring and she said she’d sooner go to Italy.;The refrigerator stopped working after a power outage.;0
65;Water intoxication happen when you drink too much water without getting extra minerals.;The novel received critical acclaim for its complex characters.;0
66;Jewelry is any object other than clothes that is worn to decorate the body.;Wind turbines generate electricity using renewable energy.;0
67;Using a camera to take photographs is called photography.;The train schedule was updated due to construction work.;0
68;People who take pictures are called photographers.;The bakery opens early every morning to prepare fresh bread.;0
69;The sport of mountain biking is one of the most best active sports you can partake in for a number of fitness reasons.;The stock market reacted negatively to rising interest rates.;0
70;Vegetable gardening requires a lot more work than herb gardening.;Airplanes rely on complex navigation systems to reach their destinations.;0
71;There are billion of galaxies in the universe. ;The restaurant introduced a new seasonal menu last week.;0
72;Studies conducted on Alzheimer's patients showed that provided dog therapy for one hour a day for four consecutive days reduced the apathy the patient had for their lives.;The bridge was closed for repairs due to structural damage.;0
